player_id,position_id,number,captain,injured,minutes,appearences,lineups,substitute_in,substitute_out,substitutes_on_bench,goals,owngoals,assists,saves,inside_box_saves,dispossesed,interceptions,yellowcards,yellowred,redcards,tackles,blocks,hit_post,cleansheets,rating,fouls,crosses,dribbles,duels,passes,penalties,shots
185530,2,18,0,False,360,4,4,0,0,0,0,,0,,,,4,0,0,0,3,,,1,6.75,"{'committed': 2, 'drawn': 3}","{'total': 8, 'accurate': 1}","{'attempts': 4, 'success': 3, 'dribbled_past': 5}","{'total': 27, 'won': 10}","{'total': 383, 'accuracy': 92, 'key_passes': 4}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': 1, 'shots_off_target': None}"
31647,2,2,0,False,200,3,2,1,0,2,0,,1,,,,1,0,0,0,1,,,1,6.93,"{'committed': 2, 'drawn': 2}","{'total': 9, 'accurate': 2}","{'attempts': 5, 'success': 2, 'dribbled_past': 2}","{'total': 24, 'won': 9}","{'total': 152, 'accuracy': 90, 'key_passes': 5}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': None, 'shots_off_target': None}"
186668,3,20,0,False,116,3,1,2,1,3,0,,0,,,,,0,0,0,0,,,1,6.60,"{'committed': None, 'drawn': 1}","{'total': 5, 'accurate': 2}","{'attempts': 2, 'success': 2, 'dribbled_past': None}","{'total': 9, 'won': 4}","{'total': 62, 'accuracy': 81, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': 1, 'shots_off_target': None}"
185480,3,5,0,False,360,4,4,0,0,0,0,,1,,,,5,1,0,0,4,1,,1,7.15,"{'committed': 5, 'drawn': 12}","{'total': None, 'accurate': None}","{'attempts': 3, 'success': 3, 'dribbled_past': 1}","{'total': 57, 'won': 32}","{'total': 314, 'accuracy': 92, 'key_passes': 3}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 4, 'shots_on_target': 1, 'shots_off_target': None}"
185571,3,8,0,False,199,3,2,1,0,2,0,,0,,,,2,0,0,0,4,1,,1,6.97,"{'committed': None, 'drawn': 1}","{'total': 7, 'accurate': 3}","{'attempts': 3, 'success': 2, 'dribbled_past': 3}","{'total': 18, 'won': 8}","{'total': 275, 'accuracy': 91, 'key_passes': 4}","{'won': None, 'scores': None, 'missed': 0, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': None, 'shots_off_target': None}"
1330,2,14,0,False,,,,,,4,,,,,,,,,,,,,,0,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
832,1,1,0,False,360,4,4,,,,,,,1,1,,,,,,,,,1,6.18,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 2, 'won': 2}","{'total': 69, 'accuracy': 79, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
186606,1,13,0,False,,,,,,4,,,,,,,,,,,,,,0,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
38,1,23,0,False,,,,,,4,,,,,,,,,,,,,,0,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
3779,2,3,0,False,360,4,4,,,,,,,,,,5,1,,,2,1,,1,6.95,"{'committed': 3, 'drawn': 2}","{'total': None, 'accurate': None}","{'attempts': 1, 'success': None, 'dribbled_past': 2}","{'total': 43, 'won': 26}","{'total': 353, 'accuracy': 92, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': 1, 'saves': None}","{'shots_total': 9, 'shots_on_target': 3, 'shots_off_target': None}"
