player_id,position_id,number,captain,injured,minutes,appearences,lineups,substitute_in,substitute_out,substitutes_on_bench,goals,owngoals,assists,saves,inside_box_saves,dispossesed,interceptions,yellowcards,yellowred,redcards,tackles,blocks,hit_post,cleansheets,rating,fouls,crosses,dribbles,duels,passes,penalties,shots
187215,1,23,0,False,540,6,6,,,,,,,11,7,1,1,,,,,,,3,6.99,"{'committed': None, 'drawn': 2}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 4, 'won': 3}","{'total': 220, 'accuracy': 93, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
185530,2,18,0,False,282,4,3,1,,3,1,,,,,2,3,,,,4,1,,2,7.06,"{'committed': 3, 'drawn': 1}","{'total': 8, 'accurate': None}","{'attempts': 2, 'success': None, 'dribbled_past': None}","{'total': 14, 'won': 5}","{'total': 249, 'accuracy': 83, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 3, 'shots_on_target': 1, 'shots_off_target': None}"
1330,2,2,0,False,267,3,3,,1,2,,,,,,2,4,,,,5,2,,1,7.06,"{'committed': 2, 'drawn': 1}","{'total': 1, 'accurate': None}","{'attempts': 1, 'success': 1, 'dribbled_past': None}","{'total': 20, 'won': 11}","{'total': 233, 'accuracy': 90, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 1, 'shots_on_target': None, 'shots_off_target': None}"
186910,3,16,0,False,241,3,3,,1,3,,,1,,,1,3,1,,,5,2,,2,7.40,"{'committed': 2, 'drawn': 3}","{'total': 2, 'accurate': None}","{'attempts': 2, 'success': 2, 'dribbled_past': 1}","{'total': 28, 'won': 22}","{'total': 272, 'accuracy': 93, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': None, 'shots_off_target': None}"
185571,3,8,1,True,258,5,3,2,3,3,,,,,,2,1,,,,1,,,3,6.80,"{'committed': None, 'drawn': 7}","{'total': 1, 'accurate': None}","{'attempts': 3, 'success': 2, 'dribbled_past': None}","{'total': 16, 'won': 11}","{'total': 233, 'accuracy': 94, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
186025,4,22,0,False,339,6,5,1,4,1,2,,1,,,2,,1,,,6,,,3,6.94,"{'committed': 5, 'drawn': 4}","{'total': 16, 'accurate': 3}","{'attempts': 7, 'success': 1, 'dribbled_past': 5}","{'total': 30, 'won': 11}","{'total': 164, 'accuracy': 80, 'key_passes': 4}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 7, 'shots_on_target': 2, 'shots_off_target': None}"
186968,3,19,0,False,194,5,3,2,3,3,1,,,,,1,,,,,1,,,3,6.95,"{'committed': 2, 'drawn': 6}","{'total': 2, 'accurate': None}","{'attempts': 5, 'success': 4, 'dribbled_past': 1}","{'total': 17, 'won': 12}","{'total': 124, 'accuracy': 85, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 6, 'shots_on_target': 3, 'shots_off_target': None}"
129660,4,7,0,False,321,5,4,1,3,2,2,,,,,6,,,,,4,,,3,7.12,"{'committed': 2, 'drawn': 12}","{'total': 6, 'accurate': None}","{'attempts': 5, 'success': 4, 'dribbled_past': None}","{'total': 34, 'won': 21}","{'total': 99, 'accuracy': 84, 'key_passes': 4}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 8, 'shots_on_target': 4, 'shots_off_target': None}"
31647,2,20,0,False,270,3,3,,,2,,,,,,1,2,2,,,9,,,2,7.07,"{'committed': 7, 'drawn': 3}","{'total': 7, 'accurate': 1}","{'attempts': 4, 'success': 2, 'dribbled_past': 2}","{'total': 32, 'won': 16}","{'total': 245, 'accuracy': 90, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
380970,2,4,0,False,360,4,4,,,2,,,,,,3,1,,,,3,1,,2,7.11,"{'committed': 3, 'drawn': 1}","{'total': None, 'accurate': None}","{'attempts': 3, 'success': 3, 'dribbled_past': 1}","{'total': 30, 'won': 14}","{'total': 413, 'accuracy': 93, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
37459030,3,9,0,False,395,6,4,2,2,2,1,,,,,7,4,,,,7,,,3,6.96,"{'committed': 10, 'drawn': 17}","{'total': 6, 'accurate': 2}","{'attempts': 8, 'success': 5, 'dribbled_past': 3}","{'total': 63, 'won': 35}","{'total': 258, 'accuracy': 91, 'key_passes': 5}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 2, 'shots_on_target': 2, 'shots_off_target': None}"
